variable_name,description,source_file,source_type,page,description_lower,lgbt_relevance_score,relevance_reasons
HLTHCVRG,Are you CURRENTLY covered by any of the following types of health insurance or health coverage plans? [Select,CODEBOOK13_LLCP.pdf,pdf_text,54.0,are you currently covered by any of the following types of health insurance or health coverage plans? [select,9,"key_demographic, healthcare_access"
VIMACDG2,Have you EVER been told by an eye doctor or other health care professional that you had age-related macular,CODEBOOK12_LLCP.pdf,pdf_text,60.0,have you ever been told by an eye doctor or other health care professional that you had age-related macular,9,"key_demographic, healthcare_access"
CSRVDEIN,Were you EVER denied health insurance or life insurance coverage because of your cancer?,CODEBOOK12_LLCP.pdf,pdf_text,83.0,were you ever denied health insurance or life insurance coverage because of your cancer?,9,"key_demographic, healthcare_access"
VIINSUR3,Do you have any kind of health insurance coverage for eye care?,CODEBOOK11_LLCP.pdf,pdf_text,66.0,do you have any kind of health insurance coverage for eye care?,9,"key_demographic, healthcare_access"
NOCOV121,In the PAST 12 MONTHS was there any time when you did NOT have ANY health insurance or coverage?,CODEBOOK13_LLCP.pdf,pdf_text,55.0,in the past 12 months was there any time when you did not have any health insurance or coverage?,9,"key_demographic, healthcare_access"
VIINSUR2,Do you have any kind of health insurance coverage for eye care?,CODEBOOK12_LLCP.pdf,pdf_text,58.0,do you have any kind of health insurance coverage for eye care?,9,"key_demographic, healthcare_access"
PCPSAAD1,"Has a doctor, nurse, or other health professional EVER talked with you about the advantages of the PSA test?",CODEBOOK12_LLCP.pdf,pdf_text,43.0,"has a doctor, nurse, or other health professional ever talked with you about the advantages of the psa test?",9,"key_demographic, healthcare_access"
PCPSAADV,Before you had the PSA test did a doctor EVER talk with you about the advantages of the PSA test?,CODEBOOK11_LLCP.pdf,pdf_text,85.0,before you had the psa test did a doctor ever talk with you about the advantages of the psa test?,9,"key_demographic, healthcare_access"
PCPSADI1,"Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test?",CODEBOOK12_LLCP.pdf,pdf_text,43.0,"has a doctor, nurse, or other health professional ever talked with you about the disadvantages of the psa test?",9,"key_demographic, healthcare_access"
ADDEPEV2,"(Ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor",CODEBOOK11_LLCP.pdf,pdf_text,21.0,"(ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor",7,lgbt_health_disparity
HIVTSTD3,"Not including blood donations, in what month and year was your last HIV test? (If response is before January 1985,",CODEBOOK11_LLCP.pdf,pdf_text,51.0,"not including blood donations, in what month and year was your last hiv test? (if response is before january 1985,",7,lgbt_health_disparity
HIVTST6,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include,CODEBOOK11_LLCP.pdf,pdf_text,51.0,have you ever been tested for hiv? do not count tests you may have had as part of a blood donation. include,7,lgbt_health_disparity
_PHYS14D,Computed Mental Health Status,codebook16_llcp.pdf,pdf_text,171.0,computed mental health status,7,lgbt_health_disparity
VHSUICID,"During the past 12 months, did you attempt to commit suicide? Would you say--- (As I mentioned, I would give you",CODEBOOK11_LLCP.pdf,pdf_text,111.0,"during the past 12 months, did you attempt to commit suicide? would you say--- (as i mentioned, i would give you",7,lgbt_health_disparity
MENTHLTH,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how",CODEBOOK11_LLCP.pdf,pdf_text,13.0,"now thinking about your mental health, which includes stress, depression, and problems with emotions, for how",7,lgbt_health_disparity
MISNOWRK,"During the past 30 days, for about how many days did a mental health condition or emotional problem keep you from",CODEBOOK12_LLCP.pdf,pdf_text,91.0,"during the past 30 days, for about how many days did a mental health condition or emotional problem keep you from",7,lgbt_health_disparity
HIVTSTD2,"Not including blood donations, in what month and year was your last HIV test? (If response is before January 1985,",codebook_10.pdf,pdf_text,33.0,"not including blood donations, in what month and year was your last hiv test? (if response is before january 1985,",7,lgbt_health_disparity
HIVTST5,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include testing,codebook_10.pdf,pdf_text,33.0,have you ever been tested for hiv? do not count tests you may have had as part of a blood donation. include testing,7,lgbt_health_disparity
POORHLTH,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your",CODEBOOK11_LLCP.pdf,pdf_text,14.0,"during the past 30 days, for about how many days did poor physical or mental health keep you from doing your",7,lgbt_health_disparity
_AIDTST3,Adults that have ever been tested for HIV,CODEBOOK11_LLCP.pdf,pdf_text,190.0,adults that have ever been tested for hiv,7,lgbt_health_disparity
SXORIENT,Do you consider yourself to be: (We ask this question in order to better understand the health and health care needs of,CODEBOOK14_LLCP.pdf,pdf_text,82.0,do you consider yourself to be: (we ask this question in order to better understand the health and health care needs of,6,variable_pattern
DIABEDU,Have you ever taken a course or class in how to manage your diabetes yourself?,CODEBOOK11_LLCP.pdf,pdf_text,57.0,have you ever taken a course or class in how to manage your diabetes yourself?,5,key_demographic
CHKHEMO3,A test for “A one C” measures the average level of blood sugar over the past three months. About how many times,CODEBOOK11_LLCP.pdf,pdf_text,55.0,a test for “a one c” measures the average level of blood sugar over the past three months. about how many times,5,key_demographic
_CLCWTV1,Version 2 Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),codebook16_llcp.pdf,pdf_text,146.0,version 2 child combined land-line and cell-phone first margin (age-gender),5,key_demographic
_CLCM2V2,Version 2 Child Combined Land-Line and Cell-Phone Third Margin (Gender-Race/Ethnicity),codebook16_llcp.pdf,pdf_text,147.0,version 2 child combined land-line and cell-phone third margin (gender-race/ethnicity),5,key_demographic
_POSTSTR,Post-stratification weight (Population estimate for race/gender/age categories divided by the weighted sample,codebook_10.pdf,pdf_text,88.0,post-stratification weight (population estimate for race/gender/age categories divided by the weighted sample,5,key_demographic
_CLCM3V3,Version 3 Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),codebook16_llcp.pdf,pdf_text,149.0,version 3 child combined land-line and cell-phone fourth margin (age-race/ethnicity),5,key_demographic
_CLCM2V3,Version 3 Child Combined Land-Line and Cell-Phone Third Margin (Gender-Race/Ethnicity),codebook16_llcp.pdf,pdf_text,149.0,version 3 child combined land-line and cell-phone third margin (gender-race/ethnicity),5,key_demographic
_CLCWTV2,Version 3 Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),codebook16_llcp.pdf,pdf_text,148.0,version 3 child combined land-line and cell-phone first margin (age-gender),5,key_demographic
ECIGNOW1,Days in past 30 had alcoholic beverage,codebook21_llcp-v2-508.pdf,pdf_text,48.0,days in past 30 had alcoholic beverage,5,key_demographic
DRNKANY4,"During the past 30 days, have you had at least one drink of any alcoholic beverage such as beer, wine, a malt",codebook_10.pdf,pdf_text,23.0,"during the past 30 days, have you had at least one drink of any alcoholic beverage such as beer, wine, a malt",5,key_demographic
_RACEPRV,Calculated sex variable,codebook21_llcp-v2-508.pdf,pdf_text,144.0,calculated sex variable,5,key_demographic
_STOLDNA,Respondents aged 50-75 who have had a virtual colonoscopy within the past five years,codebook20_llcp-v2-508.pdf,pdf_text,158.0,respondents aged 50-75 who have had a virtual colonoscopy within the past five years,5,key_demographic
CRGVAGE,What age is the person to whom you are giving care?,codebook_10.pdf,pdf_text,60.0,what age is the person to whom you are giving care?,5,key_demographic
